DOI,Paper title,Abstract,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Molecular Biology and Evolution",https://pubmed.ncbi.nlm.nih.gov/17703050/,,,Attach permanently,Attach permanently,
,,,Plant and Cell Physiology,https://pubmed.ncbi.nlm.nih.gov/17504814/,,,,Modify position,
,,,Photosynthesis Research,https://pubmed.ncbi.nlm.nih.gov/17497225/,,,"""Capture, absorb, or filter chemical entities"",""Capture, absorb, or filter gases""","""Capture, absorb, or filter chemical entities"",""Capture, absorb, or filter gases""",
,,,Current Opinion in Biotechnology,https://pubmed.ncbi.nlm.nih.gov/17493798/,,,Chemically break down organic compounds,Chemically break down organic compounds,
,,,"Current Issues in Molecular Biology,Journal of Polymers and the Environment","https://pubmed.ncbi.nlm.nih.gov/17263145/
https://link.springer.com/article/10.1023%2FA%3A1021013921916",,,,Chemically assemble polymers,
,,,The Journal of Biochemistry,https://pubmed.ncbi.nlm.nih.gov/16963787/,,,Send light signals in the visible spectrum,Send light signals in the visible spectrum,
,,,Microbial Ecology,https://pubmed.ncbi.nlm.nih.gov/16944346/,,,Chemically break down organic compounds,Chemically break down organic compounds,
,,,"""Infection, Genetics and Evolution"",Biophysical Journal","https://pubmed.ncbi.nlm.nih.gov/16807133/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1301312/",,,,Modify phase,
,,,Physical Review E,https://pubmed.ncbi.nlm.nih.gov/16711845/,,,"Send light signals in the visible spectrum,Modify/convert light energy","Send light signals in the visible spectrum,Transform radiant energy (light)",
,,,Plant Physiology,https://pubmed.ncbi.nlm.nih.gov/16461386/,,,"Send light signals in the non-visible spectrum,Modify/convert thermal energy","Send light signals in the non-visible spectrum,Transform thermal energy",
,,,Annals of Botany,https://pubmed.ncbi.nlm.nih.gov/16287905/,,,Distribute solids,"Disperse seeds,Distribute solids",
,,,Physical Review E,https://pubmed.ncbi.nlm.nih.gov/15697629/,,,Protect from light,Protect from light,https://www.newscientist.com/article/mg19626285-100-slap-on-the-edelweiss-for-the-ultimate-sunscreen/
,,,Journal of Comparative Physiology B,https://pubmed.ncbi.nlm.nih.gov/15578188/,,,"Expel gases,Protect from chemicals","Cycle nutrients,Expel gases,Maintain homeostasis,Modify phase,Protect from chemicals",
,,,"How Life Learned to Live: Adaptation in Nature,Naturwissenschaften",https://pubmed.ncbi.nlm.nih.gov/15257392/,,,"Physically assemble structure,Sense shape and/or pattern","Physically assemble structure,Sense shape and pattern in a living system",
,,,Journal of Morphology,https://pubmed.ncbi.nlm.nih.gov/15164371/,,,"Move through/on liquids,Store energy","Move in/on liquids,Store energy",
,,,Naturwissenschaften,https://pubmed.ncbi.nlm.nih.gov/14740100/,,,"Optimize shape/materials,Sense light in the visible spectrum","Optimize shape/materials,Sense light (visible spectrum) from the environment",
,,,Science,https://pubmed.ncbi.nlm.nih.gov/14716016/,,,Modify color,Modify light/color,https://issuu.com/eggermont/docs/zq_issue_04_final/10?e=15278665/11095718
,,,Rapid Commun Mass Spectrom.,https://pubmed.ncbi.nlm.nih.gov/12717761/,,,"Protect from light,Protect from loss of liquids","Protect from light,Protect from loss of liquids",
,,,Plant Physiology,https://pubmed.ncbi.nlm.nih.gov/12231662/,,,Protect from temperature,"Modify material characteristics,Protect from temperature",https://www.newscientist.com/article/mg13818692-400-science-how-plants-prepare-for-the-cold-of-night/
,,,Science,https://pubmed.ncbi.nlm.nih.gov/11935026/,,,Send chemical signals,"""Send chemical signals (odor, taste, etc.)""",
,,,Biosensors and Bioelectronics,https://pubmed.ncbi.nlm.nih.gov/11849930/,,,"Modify color,Protect from animals,Protect from light,Protect from temperature,Sense chemicals","Modify light/color,Protect from animals,Protect from light,Protect from temperature,""Sense chemicals (odor, taste, etc.) from the environment""",https://www.newscientist.com/article/mg17323323-900-amphibian-detectives/
,,,"Journal of Investigative Dermatology,The grand design: Form and colour in animals",https://pubmed.ncbi.nlm.nih.gov/11676819/,,,Physically assemble structure,Physically assemble structure,
,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Botany",https://pubmed.ncbi.nlm.nih.gov/11141182/,,,Protect from wind,Protect from wind,
,,,"Planta,Environmental Pollution and Plant Responses",https://pubmed.ncbi.nlm.nih.gov/10750904/,,,"Expel gases,""Capture, absorb, or filter chemical entities""","Expel gases,""Capture, absorb, or filter chemical entities""",
,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://pubmed.ncbi.nlm.nih.gov/9787125/,,,Prevent buckling,Prevent buckling,
,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Journal of Experimental Biology (JEB)",https://pubmed.ncbi.nlm.nih.gov/9547323/,,,"Sense light in the non-visible spectrum,Sense light in the visible spectrum,Sense shape and/or pattern,Convert signals","Sense light (non-visible spectrum) from the environment,Sense light (visible spectrum) from the environment,Sense shape and pattern in a living system,Transduce/convert signals",
,,,Journal of Biological Chemistry,"https://pubmed.ncbi.nlm.nih.gov/8567639/
https://www.jbc.org/content/274/16/10706",,,,Modify pH,
,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://pubmed.ncbi.nlm.nih.gov/1159370/,,,"Store energy,Modify/convert mechanical energy","Store energy,Transform mechanical energy",
,,,"Plant Physiology and Biochemistry,Trends in Biotechnology","https://pubag.nal.usda.gov/catalog/49409
https://www.cell.com/trends/biotechnology/fulltext/S0167-7799(02)01953-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0167779902019534%3Fshowall%3Dtrue",,,,"Chemically assemble polymers,Manage tension",
,,,"Biochemical Journal,Journal of Experimental Biology (JEB)","https://portlandpress.com/biochemj/article/356/2/503/39283/Novel-barnacle-underwater-adhesive-protein-is-a
https://jeb.biologists.org/content/212/21/3499
",,,Attach permanently,"Attach permanently,Chemically assemble polymers,Modify material characteristics","https://jeb.biologists.org/content/212/21/i.1
https://blogs.scientificamerican.com/observations/scabby-knaves-barnacles-bind-to-ships-using-clotlike-glue/"
,,,Chemie Ingenieur Technik,https://onlinelibrary.wiley.com/doi/pdf/10.1002/cite.200650118,,,Prevent buckling,"Modify pressure,Prevent buckling",
